date,confirmed,search_intensity
2019-12-01,1,19416
2019-12-02,1,40984
2019-12-03,1,40491
2019-12-06,2,36356
2019-12-07,1,20439
2019-12-08,1,18365
2019-12-09,2,40796
2019-12-10,1,38999
2019-12-11,4,38246
2019-12-12,4,36751
2019-12-13,4,34505
2019-12-14,4,19780
2019-12-15,6,18250
2019-12-16,6,38548
2019-12-17,7,38070
2019-12-18,8,38034
2019-12-19,9,39265
2019-12-20,14,34300
2019-12-21,18,21239
2019-12-22,21,17638
2019-12-23,29,39784
2019-12-24,30,38757
2019-12-25,33,38923
2019-12-26,35,39519
2019-12-27,37,35939
2019-12-28,37,22390
2019-12-29,37,19483
2019-12-30,37,36115
2019-12-31,40,31953
2020-01-01,43,16828
2020-01-02,44,41920
2020-01-03,41,38323
2020-01-04,41,21892
2020-01-05,41,18491
2020-01-06,41,37372
2020-01-07,41,37098
2020-01-08,41,34246
2020-01-09,41,35449
2020-01-10,38,32129
2020-01-11,34,18571
2020-01-12,33,16276
2020-01-13,33,31381
2020-01-14,33,30283
2020-01-15,27,28360
2020-01-16,28,27135
2020-01-17,41,23637
2020-01-18,171,13474
2020-01-19,246,20097
2020-01-20,260,18909
2020-01-21,406,15509
2020-01-22,529,11626
2020-01-23,771,7919
2020-01-24,1208,4335
2020-01-25,1870,4584
2020-01-26,2613,7027
2020-01-27,4349,9501
2020-01-28,5739,10763
2020-01-29,7417,12092
2020-01-30,9308,13308
2020-01-31,11289,15986
2020-02-01,13748,17879
2020-02-02,16369,19340
2020-02-03,19381,24117
2020-02-04,22942,24508
2020-02-05,26302,24046
2020-02-06,28985,24697
2020-02-07,31819,24016
2020-02-08,33699,20188
2020-02-09,36032,22508
2020-02-10,37693,31397
2020-02-11,38874,30731
2020-02-12,51933,29371
2020-02-13,55823,28637
2020-02-14,56950,27826
2020-02-15,57493,22351
2020-02-16,58005,21085
2020-02-17,58097,30702
2020-02-18,57883,30973
2020-02-19,56812,31826
2020-02-20,55477,32305
2020-02-21,53372,31930
2020-02-22,51494,23493
2020-02-23,49910,22807
2020-02-24,47760,34780
2020-02-25,45697,36281
2020-02-26,43352,38009
2020-02-27,40011,38479
2020-02-28,37502,37969
2020-02-29,35420,27588
2020-03-01,32741,26263
2020-03-02,30096,44215
2020-03-03,27524,40027
2020-03-04,25441,42210
2020-03-05,23872,40422
2020-03-06,22263,40438
2020-03-07,20616,27875
2020-03-08,19097,24590
2020-03-09,17802,38305
2020-03-10,16226,43015
2020-03-11,14932,42945
2020-03-12,13607,44584
2020-03-13,12178,42396
2020-03-14,10822,28067
2020-03-15,9996,25280
2020-03-16,9991,44318
