2019-12-01,1,2663
2019-12-02,1,3245
2019-12-03,1,3118
2019-12-06,2,3074
2019-12-07,1,2663
2019-12-08,1,2560
2019-12-09,2,3802
2019-12-10,1,4760
2019-12-11,4,4177
2019-12-12,4,3115
2019-12-13,4,3603
2019-12-14,4,2677
2019-12-15,6,2746
2019-12-16,6,4232
2019-12-17,7,3500
2019-12-18,8,3500
2019-12-19,9,3346
2019-12-20,14,3409
2019-12-21,18,2523
2019-12-22,21,2505
2019-12-23,29,2940
2019-12-24,30,2779
2019-12-25,33,2777
2019-12-26,35,3460
2019-12-27,37,3747
2019-12-28,37,2739
2019-12-29,37,2652
2019-12-30,37,3241
2019-12-31,40,2706
2020-01-01,43,2162
2020-01-02,44,3876
2020-01-03,41,3363
2020-01-04,41,2548
2020-01-05,41,2492
2020-01-06,41,2879
2020-01-07,41,3333
2020-01-08,41,3596
2020-01-09,41,3238
2020-01-10,38,2724
2020-01-11,34,2649
2020-01-12,33,2246
2020-01-13,33,3376
2020-01-14,33,3014
2020-01-15,27,2805
2020-01-16,28,3372
2020-01-17,41,2593
2020-01-18,171,2102
2020-01-19,246,2378
2020-01-20,260,2416
2020-01-21,406,2186
2020-01-22,529,2072
2020-01-23,771,1930
2020-01-24,1208,1351
2020-01-25,1870,2118
2020-01-26,2613,3358
2020-01-27,4349,4615
2020-01-28,5739,6140
2020-01-29,7417,7658
2020-01-30,9308,9957
2020-01-31,11289,12871
2020-02-01,13748,14405
2020-02-02,16369,19211
2020-02-03,19381,35500
2020-02-04,22942,26325
2020-02-05,26302,25464
2020-02-06,28985,26413
2020-02-07,31819,25940
2020-02-08,33699,17867
2020-02-09,36032,24480
2020-02-10,37693,41764
2020-02-11,38874,34670
2020-02-12,51933,31978
2020-02-13,55823,29597
2020-02-14,56950,28127
2020-02-15,57493,19674
2020-02-16,58005,20775
2020-02-17,58097,33576
2020-02-18,57883,30755
2020-02-19,56812,30930
2020-02-20,55477,30195
2020-02-21,53372,27981
2020-02-22,51494,18165
2020-02-23,49910,19456
2020-02-24,47760,31269
2020-02-25,45697,31386
2020-02-26,43352,31537
2020-02-27,40011,31250
2020-02-28,37502,28562
2020-02-29,35420,19089
2020-03-01,32741,20127
2020-03-02,30096,32914
2020-03-03,27524,26357
2020-03-04,25441,29663
2020-03-05,23872,29590
2020-03-06,22263,30230
2020-03-07,20616,17133
2020-03-08,19097,15395
2020-03-09,17802,28824
2020-03-10,16226,27231
2020-03-11,14932,27657
2020-03-12,13607,27716
2020-03-13,12178,27169
